,round,day,date,local_time,home_team,home_score,away_score,away_team,attendance,stadium,latitude,longitude,playoff,att_div_capacity,real_home_team,same_conf,rivals,temperature,rain,snow,cloudcover,windspeed,windgust,rain_sum,snow_sum,date_year,date_month,date_day,home_opener
0,Regular Season,Sat,2018-03-03,13.0,27,0,2,6,26633,BMO Field,43.63,-79.42,0,0.8877666666666667,1,1,1,27.8,0.0,0.0,1.0,21.6,42.5,0.0,0.0,2018,3,3,1
1,Regular Season,Sat,2018-03-03,14.5,9,4,0,0,20377,BBVA Compass Stadium,29.75,-95.35,0,0.9245882299559872,1,0,0,55.8,0.0,0.0,40.0,13.6,23.4,0.0,0.0,2018,3,3,1
2,Regular Season,Sun,2018-03-04,14.0,24,0,1,11,40070,CenturyLink Field,47.6,-122.33,0,1.016514878611837,1,1,0,30.0,0.0,0.0,27.0,7.2,18.0,0.0,0.0,2018,3,4,1
3,Regular Season,Sun,2018-03-04,15.0,28,2,1,14,27837,BC Place,49.28,-123.11,0,1.2584538878842677,1,0,0,32.6,0.0,0.0,65.0,7.6,15.5,0.0,0.0,2018,3,4,1
4,Regular Season,Sat,2018-03-03,19.0,20,2,0,16,16452,Talen Energy Stadium,39.83,-75.38,0,0.8892972972972973,1,1,0,44.3,0.0,0.0,14.0,27.3,61.9,0.0,0.91,2018,3,3,1
5,Regular Season,Sat,2018-03-03,19.0,7,1,1,22,16116,Toyota Stadium,33.15,-96.84,0,0.7861463414634147,1,1,0,67.2,0.0,0.0,0.0,17.8,34.6,0.0,0.0,2018,3,3,1
6,Regular Season,Sat,2018-03-03,19.5,19,1,1,8,25527,Orlando City Stadium,28.54,-81.39,0,1.0010588235294118,1,1,0,71.7,0.0,0.0,0.0,15.4,35.6,0.0,0.0,2018,3,3,1
7,Regular Season,Sat,2018-03-03,19.5,23,3,2,12,18000,Avaya Stadium,37.35,-121.92,0,1.0,1,1,0,51.4,0.0,0.0,46.0,9.0,19.8,9.7,0.0,2018,3,3,1
8,Regular Season,Sun,2018-03-04,18.5,25,0,2,17,20831,Children's Mercy Park,39.12,-94.82,0,1.1280121297449504,1,0,0,53.4,0.0,0.0,100.0,23.0,47.9,0.0,0.0,2018,3,4,1
9,Regular Season,Sun,2018-03-04,19.0,10,2,1,21,25462,StubHub Center,33.86,-118.26,0,0.943037037037037,1,1,0,57.2,0.0,0.0,0.0,8.8,19.4,0.0,0.0,2018,3,4,1
